Image Name,Raw Endings (Noisy),Raw Bifurcations (Noisy),Spur-Pruned Endings,Spur-Pruned Bifurcations,Final Endings (Clean),Final Bifurcations (Clean)
00004_78.bmp,14,226,1,213,1,13
00004_79.bmp,18,187,4,173,4,15
00005_00.bmp,23,314,0,291,0,13
00005_01.bmp,24,302,1,279,1,14
00005_02.bmp,44,153,6,115,6,8
00005_03.bmp,41,143,7,109,7,12
00005_04.bmp,31,260,2,231,2,13
00005_05.bmp,25,283,1,259,1,10
00005_06.bmp,34,328,0,294,0,15
00005_07.bmp,21,279,0,258,0,9
00005_08.bmp,35,258,2,225,2,15
00005_09.bmp,36,285,0,249,0,15
00005_10.bmp,35,260,0,225,0,16
00005_11.bmp,42,137,3,98,3,19
00005_12.bmp,36,217,5,186,5,19
00005_13.bmp,60,156,6,102,6,11
00005_14.bmp,34,217,1,184,1,13
00005_15.bmp,31,275,0,244,0,16
00005_16.bmp,34,257,3,226,3,14
00005_17.bmp,19,271,0,252,0,20
00005_18.bmp,23,307,0,284,0,17
00005_19.bmp,38,172,4,138,4,18
00005_20.bmp,36,289,1,254,1,14
00005_21.bmp,50,139,7,96,7,13
00005_22.bmp,60,157,3,100,3,21
00005_23.bmp,52,138,12,98,12,16
00005_24.bmp,33,303,0,270,0,17
00005_25.bmp,30,290,0,260,0,11
00005_26.bmp,25,300,0,275,0,13
00005_27.bmp,28,209,2,183,2,11
00005_28.bmp,50,293,0,243,0,9
00005_29.bmp,31,299,1,269,1,10
00005_30.bmp,48,236,0,188,0,17
00005_31.bmp,57,165,2,110,2,17
00005_32.bmp,43,226,0,183,0,19
00005_33.bmp,65,147,4,86,4,18
00005_34.bmp,43,235,1,193,1,16
00005_35.bmp,25,268,1,244,1,16
00005_36.bmp,41,265,0,224,0,18
00005_37.bmp,46,257,0,211,0,20
00005_38.bmp,43,214,1,172,1,12
00005_39.bmp,42,277,0,235,0,14
00005_40.bmp,39,286,1,248,1,11
00005_41.bmp,64,191,2,129,2,11
00005_42.bmp,69,151,8,90,8,11
00005_43.bmp,64,170,7,113,7,20
00005_44.bmp,37,295,0,258,0,9
00005_45.bmp,46,257,1,212,1,9
00005_46.bmp,48,190,4,146,4,13
00005_47.bmp,58,236,1,179,1,10
00005_48.bmp,50,224,1,175,1,6
00005_49.bmp,46,259,1,214,1,13
00005_50.bmp,27,296,0,269,0,17
00005_51.bmp,52,185,2,135,2,16
00005_52.bmp,36,266,0,230,0,16
00005_53.bmp,45,254,0,209,0,9
00005_54.bmp,24,246,1,223,1,15
00005_55.bmp,26,188,2,164,2,14
00005_56.bmp,31,252,0,221,0,15
00005_57.bmp,32,222,3,193,3,12
00005_58.bmp,24,287,2,265,2,9
00005_59.bmp,29,184,2,157,2,15
00005_60.bmp,38,307,0,269,0,14
00005_61.bmp,44,273,1,230,1,21
00005_62.bmp,73,176,7,110,7,16
00005_63.bmp,62,276,1,215,1,16
00005_64.bmp,22,320,0,298,0,11
00005_65.bmp,45,244,1,200,1,8
00005_66.bmp,41,233,1,193,1,13
00005_67.bmp,25,292,0,267,0,17
00005_68.bmp,22,327,1,306,1,15
00005_69.bmp,42,247,0,205,0,19
00005_70.bmp,34,322,0,288,0,10
00005_71.bmp,58,182,2,126,2,10
